plaats,datum,Gemiddeld,Minimum,Maximum
  235,20140101,   69,   48,   88
  235,20140102,   83,   61,   97
  235,20140103,   85,   61,  108
  235,20140104,   74,   61,   88
  235,20140105,   65,   47,   86
  235,20140106,  103,   60,  131
  235,20140107,   96,   85,  105
  235,20140108,   83,   70,   96
  235,20140109,   88,   67,  114
  235,20140110,   72,   62,   85
  235,20140111,   67,   57,   78
  235,20140112,   43,   17,   74
  235,20140113,   59,   23,   97
  235,20140114,   49,   30,   64
  235,20140115,   49,   30,   65
  235,20140116,   72,   52,   90
  235,20140117,   71,   55,   88
  235,20140118,   67,   47,   78
  235,20140119,   53,   44,   62
  235,20140120,   36,   25,   57
  235,20140121,   33,   23,   40
  235,20140122,   32,    9,   45
  235,20140123,   40,   30,   56
  235,20140124,   37,   17,   62
  235,20140125,   36,   17,   69
  235,20140126,   53,   23,   70
  235,20140127,   44,   24,   66
  235,20140128,   44,   27,   61
  235,20140129,   -3,  -21,   28
  235,20140130,   -3,  -23,   13
  235,20140131,   25,  -14,   58
  235,20140201,   63,   50,   77
  235,20140202,   51,   26,   74
  235,20140203,   35,   11,   66
  235,20140204,   54,   23,   94
  235,20140205,   67,   34,   98
  235,20140206,   71,   55,   86
  235,20140207,   74,   50,   93
  235,20140208,   68,   45,   93
  235,20140209,   60,   40,   76
  235,20140210,   49,   22,   71
  235,20140211,   55,   24,   78
  235,20140212,   61,   29,   88
  235,20140213,   58,   32,   70
  235,20140214,   61,   50,   95
  235,20140215,   88,   53,  113
  235,20140216,   61,   16,   82
  235,20140217,   52,    9,   90
  235,20140218,   66,   45,   88
  235,20140219,   73,   63,   91
  235,20140220,   82,   61,  105
  235,20140221,   69,   54,   86
  235,20140222,   70,   57,   91
  235,20140223,   80,   46,  114
  235,20140224,   75,   49,  118
  235,20140225,   79,   55,  119
  235,20140226,   63,   31,   92
  235,20140227,   48,   28,   73
  235,20140228,   48,   10,   72
  235,20140301,   53,   34,   76
  235,20140302,   60,    8,   92
  235,20140303,   51,   27,   78
  235,20140304,   57,   21,  102
  235,20140305,   50,   -5,  104
  235,20140306,   83,   39,  119
  235,20140307,   73,    7,  109
  235,20140308,   81,   -1,  145
  235,20140309,  100,   55,  163
  235,20140310,   80,   40,  127
  235,20140311,   74,   53,  102
  235,20140312,   74,   45,  114
  235,20140313,   72,   12,  126
  235,20140314,   67,   53,   91
  235,20140315,   91,   77,  105
  235,20140316,   96,   87,  113
  235,20140317,   92,   82,  105
  235,20140318,   89,   81,  108
  235,20140319,   94,   83,  116
  235,20140320,  114,   80,  185
  235,20140321,   76,   53,   99
  235,20140322,   70,   40,   92
  235,20140323,   68,   42,   95
  235,20140324,   56,    3,   95
  235,20140325,   57,   -3,   96
  235,20140326,   53,   33,   74
  235,20140327,   80,   49,  115
  235,20140328,   93,   54,  146
  235,20140329,  106,   60,  162
  235,20140330,  113,   76,  174
  235,20140331,  110,   87,  159
  235,20140401,  102,   51,  156
  235,20140402,   76,   32,  112
  235,20140403,  105,   75,  146
  235,20140404,  107,   96,  121
  235,20140405,  109,   82,  147
  235,20140406,  121,  103,  141
  235,20140407,  135,  115,  166
  235,20140408,   89,   64,  124
  235,20140409,   99,   81,  124
  235,20140410,   99,   38,  135
  235,20140411,   91,   36,  136
  235,20140412,   85,   19,  125
  235,20140413,   99,   81,  116
  235,20140414,   84,   58,  108
  235,20140415,   73,   55,   99
  235,20140416,   83,   12,  124
  235,20140417,   94,   42,  141
  235,20140418,   82,   65,  110
  235,20140419,   96,   67,  126
  235,20140420,  134,   97,  198
  235,20140421,  120,  106,  138
  235,20140422,  123,   80,  159
  235,20140423,  130,   66,  174
  235,20140424,  134,   97,  162
  235,20140425,  149,  114,  180
  235,20140426,  134,  100,  170
  235,20140427,  112,   99,  126
  235,20140428,  123,  106,  145
  235,20140429,  118,  100,  151
  235,20140430,  127,  101,  168
  235,20140501,  119,  106,  142
  235,20140502,   96,   76,  119
  235,20140503,   85,   49,  118
  235,20140504,   85,   56,  113
  235,20140505,  129,   64,  176
  235,20140506,  130,  104,  159
  235,20140507,  123,   95,  149
  235,20140508,  118,  109,  141
  235,20140509,  118,   90,  144
  235,20140510,  118,   87,  145
  235,20140511,  111,  100,  127
  235,20140512,  108,   74,  140
  235,20140513,  104,   77,  131
  235,20140514,  104,   80,  130
  235,20140515,  101,   49,  133
  235,20140516,  113,   44,  163
  235,20140517,  136,   71,  177
  235,20140518,  162,  105,  198
  235,20140519,  169,  130,  199
  235,20140520,  188,  143,  257
  235,20140521,  166,  120,  194
  235,20140522,  171,  146,  206
  235,20140523,  155,  138,  179
  235,20140524,  157,  136,  183
  235,20140525,  151,  100,  190
  235,20140526,  170,  146,  231
  235,20140527,  163,  143,  189
  235,20140528,  125,  111,  144
  235,20140529,  111,   94,  137
  235,20140530,  131,   71,  172
  235,20140531,  133,   83,  163
  235,20140601,  131,   99,  160
  235,20140602,  143,  104,  172
  235,20140603,  146,   80,  188
  235,20140604,  153,  125,  184
  235,20140605,  131,  107,  156
  235,20140606,  159,  115,  189
  235,20140607,  189,  142,  252
  235,20140608,  180,  147,  215
  235,20140609,  203,  164,  252
  235,20140610,  180,  123,  224
  235,20140611,  157,  117,  187
  235,20140612,  166,  114,  205
  235,20140613,  165,  132,  199
  235,20140614,  152,  134,  177
  235,20140615,  147,  127,  172
  235,20140616,  147,  130,  175
  235,20140617,  146,  130,  170
  235,20140618,  151,  136,  178
  235,20140619,  144,  125,  168
  235,20140620,  140,  123,  165
  235,20140621,  151,  124,  181
  235,20140622,  150,  116,  180
  235,20140623,  157,  122,  189
  235,20140624,  144,  121,  178
  235,20140625,  147,  128,  176
  235,20140626,  159,  113,  197
  235,20140627,  158,  125,  184
  235,20140628,  160,  134,  187
  235,20140629,  154,  128,  177
  235,20140630,  144,  116,  177
  235,20140701,  150,  118,  178
  235,20140702,  151,  111,  183
  235,20140703,  179,  113,  213
  235,20140704,  210,  125,  289
  235,20140705,  183,  164,  209
  235,20140706,  181,  154,  237
  235,20140707,  178,  131,  209
  235,20140708,  159,  137,  185
  235,20140709,  159,  136,  177
  235,20140710,  201,  171,  232
  235,20140711,  199,  165,  250
  235,20140712,  193,  150,  248
  235,20140713,  179,  153,  208
  235,20140714,  175,  155,  194
  235,20140715,  174,  139,  207
  235,20140716,  179,  108,  220
  235,20140717,  202,  155,  245
  235,20140718,  228,  187,  260
  235,20140719,  262,  195,  346
  235,20140720,  204,  184,  236
  235,20140721,  192,  184,  201
  235,20140722,  218,  195,  243
  235,20140723,  229,  208,  268
  235,20140724,  224,  199,  252
  235,20140725,  203,  180,  222
  235,20140726,  211,  183,  243
  235,20140727,  190,  171,  220
  235,20140728,  199,  176,  220
  235,20140729,  199,  168,  223
  235,20140730,  180,  147,  216
  235,20140731,  187,  140,  221
  235,20140801,  191,  136,  227
  235,20140802,  207,  157,  287
  235,20140803,  191,  157,  216
  235,20140804,  179,  136,  212
  235,20140805,  181,  123,  218
  235,20140806,  186,  162,  238
  235,20140807,  188,  161,  219
  235,20140808,  200,  173,  240
  235,20140809,  183,  142,  210
  235,20140810,  187,  143,  213
  235,20140811,  177,  141,  203
  235,20140812,  173,  145,  195
  235,20140813,  173,  139,  194
  235,20140814,  165,  121,  191
  235,20140815,  158,  114,  190
  235,20140816,  161,  136,  181
  235,20140817,  159,  130,  177
  235,20140818,  150,  119,  180
  235,20140819,  128,  106,  151
  235,20140820,  134,   97,  161
  235,20140821,  145,   79,  172
  235,20140822,  144,  121,  172
  235,20140823,  130,  104,  165
  235,20140824,  132,   95,  168
  235,20140825,  131,   82,  158
  235,20140826,  147,  126,  180
  235,20140827,  161,  109,  190
  235,20140828,  171,  127,  210
  235,20140829,  178,  161,  198
  235,20140830,  172,  147,  196
  235,20140831,  158,  125,  182
  235,20140901,  157,  118,  197
  235,20140902,  165,  116,  194
  235,20140903,  179,  147,  210
  235,20140904,  185,  150,  217
  235,20140905,  184,  162,  221
  235,20140906,  174,  155,  189
  235,20140907,  165,  119,  198
  235,20140908,  150,   90,  187
  235,20140909,  152,  134,  167
  235,20140910,  149,  123,  183
  235,20140911,  169,  151,  198
  235,20140912,  173,  151,  201
  235,20140913,  172,  159,  197
  235,20140914,  169,  150,  195
  235,20140915,  180,  146,  208
  235,20140916,  190,  171,  217
  235,20140917,  196,  169,  233
  235,20140918,  189,  164,  223
  235,20140919,  183,  136,  213
  235,20140920,  172,  137,  211
  235,20140921,  157,  141,  179
  235,20140922,  144,  116,  168
  235,20140923,  146,   93,  173
  235,20140924,  150,  130,  176
  235,20140925,  156,  137,  176
  235,20140926,  165,   95,  190
  235,20140927,  149,   85,  201
  235,20140928,  159,  109,  198
  235,20140929,  169,  137,  195
  235,20140930,  161,  127,  186
  235,20141001,  159,  124,  195
  235,20141002,  154,  107,  182
  235,20141003,  154,   90,  208
  235,20141004,  159,  119,  208
  235,20141005,  135,  117,  158
  235,20141006,  138,  131,  147
  235,20141007,  133,  101,  151
  235,20141008,  131,   88,  157
  235,20141009,  151,  123,  171
  235,20141010,  144,  102,  172
  235,20141011,  127,   92,  156
  235,20141012,  133,   93,  166
  235,20141013,  140,  113,  178
  235,20141014,  125,  103,  146
  235,20141015,  135,  108,  160
  235,20141016,  141,  119,  169
  235,20141017,  149,  114,  178
  235,20141018,  174,  128,  210
  235,20141019,  171,  159,  196
  235,20141020,  147,  130,  163
  235,20141021,  126,   90,  157
  235,20141022,  114,   89,  131
  235,20141023,  134,  121,  148
  235,20141024,  121,  110,  136
  235,20141025,  133,  110,  152
  235,20141026,  146,  136,  158
  235,20141027,  136,  109,  160
  235,20141028,  103,   86,  127
  235,20141029,  123,  109,  140
  235,20141030,  123,  100,  141
  235,20141031,  134,  103,  176
  235,20141101,  143,  108,  170
  235,20141102,  140,  115,  166
  235,20141103,  118,   97,  137
  235,20141104,   93,   60,  111
  235,20141105,   77,   45,   91
  235,20141106,   66,   40,  107
  235,20141107,   79,   51,   99
  235,20141108,  107,   86,  125
  235,20141109,  102,   83,  129
  235,20141110,   96,   67,  122
  235,20141111,   85,   58,  111
  235,20141112,   92,   65,  114
  235,20141113,   86,   49,  127
  235,20141114,   95,   74,  111
  235,20141115,   96,   87,  108
  235,20141116,   89,   74,  105
  235,20141117,   94,   70,  112
  235,20141118,   80,   69,   93
  235,20141119,   79,   73,   90
  235,20141120,   72,   57,   84
  235,20141121,   61,   43,   73
  235,20141122,   77,   54,  100
  235,20141123,  102,   78,  127
  235,20141124,   83,   29,  112
  235,20141125,   55,   19,   83
  235,20141126,   52,   44,   59
  235,20141127,   65,   51,   80
  235,20141128,   52,   35,   61
  235,20141129,   28,   22,   37
  235,20141130,   22,   16,   29
  235,20141201,   13,    7,   21
  235,20141202,   14,    4,   25
  235,20141203,   18,   -7,   53
  235,20141204,    5,   -8,   13
  235,20141205,   44,   12,   77
  235,20141206,   59,   16,   92
  235,20141207,   78,   61,   96
  235,20141208,   58,   27,   81
  235,20141209,   50,   -6,   76
  235,20141210,   77,   61,   89
  235,20141211,   73,   32,   84
  235,20141212,   76,   59,  100
  235,20141213,   57,   32,   81
  235,20141214,   61,   42,   80
  235,20141215,   72,   57,   84
  235,20141216,   63,   39,   82
  235,20141217,   86,   53,  106
  235,20141218,  107,   96,  114
  235,20141219,   90,   76,  112
  235,20141220,   79,   49,   88
  235,20141221,   88,   73,  104
  235,20141222,  110,  103,  115
  235,20141223,  105,   99,  112
  235,20141224,   85,   67,  102
  235,20141225,   67,   47,   82
  235,20141226,   40,    7,   61
  235,20141227,   22,    2,   34
  235,20141228,   30,    2,   66
  235,20141229,   57,   29,   71
  235,20141230,   66,   55,   72
  235,20141231,   69,   60,   78
